id,Date1,Date2,Price1,Price2
1,1997-08-27,2015-12-02,38000,162000
1,2015-12-02,2021-02-12,162000,198000
2,2012-10-16,2020-11-27,125000,199000
2,2020-11-27,2023-01-13,199000,285000
3,1995-09-29,2003-12-22,48000,102000
3,2003-12-22,2007-07-20,102000,148500
3,2007-07-20,2020-07-28,148500,195000
4,1997-06-30,2005-09-16,51000,130000
6,2007-04-30,2007-09-17,146000,176000
6,2007-09-17,2012-08-28,176000,150000
8,2021-07-30,2022-09-29,4260000,7453200
11,1999-11-29,2012-10-23,83500,177000
11,2012-10-23,2016-04-18,177000,197000
11,2016-04-18,2024-03-15,197000,299000
12,2021-09-24,2023-04-14,250000,270000
13,1997-09-24,2017-01-27,68500,196000
16,1997-05-19,2017-04-13,42000,218000
17,1997-02-28,2024-12-18,59995,280000
19,1997-06-20,2011-02-18,71500,175000
20,2000-03-31,2005-09-09,118500,193500
20,2005-09-09,2006-04-21,193500,207000
21,1996-05-01,2023-11-30,87000,411000
22,1999-08-31,2021-09-21,100000,300000
22,2021-09-21,2024-03-19,300000,377500
23,1999-12-22,2004-09-24,124500,210000
23,2004-09-24,2005-11-21,210000,260000
23,2005-11-21,2007-12-20,260000,249995
24,2000-11-10,2005-08-11,60000,110000
24,2005-08-11,2015-10-16,110000,110000
24,2015-10-16,2022-12-09,110000,175000
24,2022-12-09,2025-05-23,175000,175000
25,1996-11-29,2004-03-29,51000,128000
26,2019-12-19,2021-12-10,113500,160000
27,1999-07-21,2001-07-06,49000,67000
28,2018-08-24,2023-02-02,128000,180000
29,1996-12-20,2006-03-10,33000,100000
32,2003-07-29,2021-04-23,120000,205000
33,2000-10-27,2005-04-27,58000,107000
33,2005-04-27,2022-12-20,107000,141000
34,1999-09-24,2003-05-09,39000,80000
34,2003-05-09,2015-10-09,80000,105000
34,2015-10-09,2021-02-19,105000,125000
35,2001-06-18,2009-05-01,71000,122500
35,2009-05-01,2014-07-04,122500,135000
37,2006-04-07,2014-05-09,125000,137000
38,2006-07-20,2010-08-06,151000,164000
39,1997-10-21,2000-08-25,47500,72000
39,2000-08-25,2003-09-15,72000,127000
40,2010-09-20,2014-05-02,93000,138750
40,2014-05-02,2023-06-30,138750,225000
42,1998-07-24,2012-10-26,56500,133500
42,2012-10-26,2021-10-29,133500,224000
42,2021-10-29,2025-03-28,224000,248000
43,2003-12-19,2025-04-14,115500,240000
44,1996-05-24,1999-01-04,45500,55000
44,1999-01-04,2003-11-07,55000,117000
46,1995-11-17,2000-03-01,44000,69000
49,1998-08-21,1999-08-20,52500,59950
49,1999-08-20,2003-07-18,59950,114950
49,2003-07-18,2007-04-23,114950,150000
51,1998-06-19,2003-05-30,46000,114500
51,2003-05-30,2019-11-01,114500,170000
51,2019-11-01,2023-09-15,170000,230000
54,1999-11-12,2024-07-16,60000,240000
55,1998-10-23,2008-01-31,54600,85000
56,2019-10-25,2021-11-19,190000,226500
58,1996-01-26,2021-08-27,48500,226000
59,2004-08-27,2007-08-20,115000,127500
60,2004-08-04,2006-11-30,159995,148000
60,2006-11-30,2010-05-28,148000,153000
60,2010-05-28,2019-06-26,153000,180000
62,2006-01-31,2016-07-29,196080,192500
62,2016-07-29,2023-08-24,192500,217000
63,2006-10-27,2015-11-30,166000,165000
63,2015-11-30,2018-01-10,165000,181500
63,2018-01-10,2023-01-04,181500,202000
64,2006-06-02,2019-06-11,160000,173500
64,2019-06-11,2022-01-21,173500,204000
67,2004-07-23,2005-05-19,134995,142375
67,2005-05-19,2021-11-12,142375,160000
69,2005-07-11,2008-01-11,209950,199500
69,2008-01-11,2019-09-30,199500,205000
69,2019-09-30,2022-08-18,205000,235500
71,2014-05-02,2021-03-22,125000,210000
79,2016-05-03,2023-04-21,175000,288000
